symbol,asOfDate,periodType,EnterpriseValue,EnterprisesValueEBITDARatio,EnterprisesValueRevenueRatio,ForwardPeRatio,MarketCap,PbRatio,PeRatio,PegRatio,PsRatio,Ticker
MMM,2022-09-02,TTM,83424317841.0,,,11.1607,69292317841.0,5.042375,16.990223,1.9045,2.005829,MMM
MMM,2022-09-05,TTM,,11.328669,2.377777,,,,,,,MMM
MMM,2022-09-30,3M,75210092107.0,16.043108,8.726081,10.142,61078092107.0,4.444629,15.432961,1.73,1.821982,MMM
MMM,2022-12-31,3M,79211930366.0,87.720853,9.80467,11.3379,66284930366.0,4.677946,10.464223,2.2009,1.981619,MMM
MMM,2023-03-31,3M,70948266728.0,57.170239,8.8343,12.1359,57986266728.0,3.938749,10.325147,4.057,1.742979,MMM
MMM,2023-06-30,3M,68129922318.0,-7.605484,8.183774,11.7786,55248922318.0,3.599044,10.339876,6.2303,1.683037,MMM
MMM,2023-09-30,3M,64164531296.0,-23.852986,7.719506,9.7656,51677531296.0,6.581128,,3.5891,1.578602,MMM
AOS,2022-09-30,3M,7520761703.0,45.497651,8.603022,12.8866,7658761703.0,4.27267,14.947692,1.2879,2.003448,AOS
AOS,2022-12-31,3M,8639071165.0,-39.429809,9.228791,17.6056,8744871165.0,4.951076,18.229299,1.7612,2.364727,AOS
AOS,2023-03-31,3M,10339133312.0,53.157498,10.698606,20.6186,10454033312.0,5.981595,45.794702,,2.869587,AOS
AOS,2023-06-30,3M,10872713368.0,46.804621,11.316313,21.9298,11002813368.0,6.146136,45.773585,2.1922,2.998148,AOS
AOS,2023-09-30,3M,9774241393.0,49.315042,10.425857,17.6367,9951941393.0,5.298716,36.335165,1.7644,2.705432,AOS
ABT,2022-09-30,3M,176178198662.0,75.225533,16.923938,20.5339,168708198662.0,4.623409,20.200418,15.3359,3.776626,ABT
ABT,2022-12-31,3M,197933964976.0,105.172139,19.614901,24.8139,191426964976.0,5.348073,24.783296,18.5159,4.31901,ABT
ABT,2023-03-30,TTM,,,,22.4215,,4.693772,25.340153,39.3758,4.003783,ABT
ABT,2023-03-31,3M,183631752866.0,87.235987,18.839823,22.9358,176085752866.0,4.799808,25.897698,40.2422,4.091875,ABT
ABT,2023-03-31,TTM,183530435553.0,,,,175984435553.0,,,,,ABT
ABT,2023-04-01,TTM,,17.162001,4.204303,,,,,,,ABT
ABT,2023-06-30,3M,196556726979.0,89.547484,19.699011,24.7525,189188726979.0,5.111827,33.136778,22.5248,4.618459,ABT
ABT,2023-09-30,3M,176760420363.0,79.052066,17.426838,20.9644,168069420363.0,4.521155,33.054608,36.1826,4.22423,ABT
ABBV,2022-09-08,TTM,311423919477.0,,,,248452919477.0,,,,,ABBV
ABBV,2022-09-09,TTM,,,,12.1212,,17.06437,20.002829,,4.383233,ABBV
ABBV,2022-09-12,TTM,,12.679095,5.430329,,,,,,,ABBV
ABBV,2022-09-30,3M,300308087607.0,61.324911,20.274648,11.5075,237337087607.0,16.197167,18.983027,,4.159763,ABBV
ABBV,2022-12-31,3M,343531134897.0,59.796542,22.718811,14.0252,285804134897.0,17.876541,21.548,,4.968993,ABBV
ABBV,2023-03-31,3M,335165738255.0,114.861459,27.41642,14.4928,281123738255.0,16.29325,24.037707,,4.88097,ABBV
ABBV,2023-06-30,3M,293142363746.0,61.160518,21.142615,12.2549,237771363746.0,17.912563,31.701176,10.2068,4.220627,ABBV
ABBV,2023-09-30,3M,315346858120.0,134.133074,22.642842,13.6054,263097858120.0,20.45417,30.670782,5.9159,4.725391,ABBV
ACN,2022-11-30,3M,184850616879.0,59.339673,11.738185,26.455,189418666879.0,8.568616,28.098039,3.0722,3.140706,ACN
ACN,2023-02-28,3M,165028435269.0,66.249448,10.435487,23.1481,167632186269.0,7.29641,24.118983,2.7586,2.730131,ACN
ACN,2023-03-07,TTM,163773594516.0,,,23.0415,166377345516.0,7.241792,23.996367,2.7445,2.716252,ACN
ACN,2023-03-08,TTM,,15.871543,2.625547,,,,,,,ACN
ACN,2023-05-31,3M,189940363932.0,58.5515,11.466654,24.6305,192974838932.0,8.120942,28.169429,3.0002,3.099213,ACN
ACN,2023-08-31,3M,197969691967.0,75.624135,12.384561,25.974,203413406967.0,8.029763,28.856506,3.013,3.254876,ACN
ADM,2022-09-02,TTM,60742799060.0,,,14.4718,49110799060.0,2.013315,13.818612,,0.526882,ADM
ADM,2022-09-05,TTM,,10.518234,0.643707,,,,,,,ADM
ADM,2022-09-16,TTM,59150804204.0,,,14.0056,47518804204.0,1.948051,13.370662,,0.509802,ADM
ADM,2022-09-17,TTM,,10.242563,0.626837,,,,,,,ADM
ADM,2022-09-30,3M,55799050000.0,35.160082,2.260627,13.2979,44167050000.0,1.810644,12.689274,,0.483822,ADM
ADM,2022-12-31,3M,59648682976.0,44.282615,2.273977,14.5138,51005682976.0,2.116471,12.806897,16.4862,0.532415,ADM
ADM,2023-03-31,3M,52665700000.0,29.210039,2.187841,11.8064,43414700000.0,1.78779,10.332036,,0.441614,ADM
ADM,2023-06-30,3M,51151160000.0,32.49756,2.030614,11.3636,40500160000.0,1.607341,9.480552,,0.414003,ADM
ADM,2023-09-30,3M,48831785915.0,33.746915,2.250831,11.2613,40432785915.0,1.615604,10.056,,0.417935,ADM
ADBE,2022-04-06,TTM,,32.185864,,,,,,,,ADBE
ADBE,2022-11-30,3M,159234957000.0,90.474407,35.190046,22.5734,160357957000.0,11.156888,34.016765,1.7063,9.53067,ADBE
ADBE,2023-02-28,3M,147092605465.0,79.854835,31.598841,21.097,148555605465.0,10.5726,32.074257,1.4056,8.666389,ADBE
ADBE,2023-03-07,TTM,156653909290.0,,,22.4215,158116909290.0,11.253072,34.138614,1.496,9.224174,ADBE
ADBE,2023-03-08,TTM,,22.456122,8.897757,,,,,,,ADBE
ADBE,2023-05-31,3M,190113273000.0,100.270714,39.475347,26.9542,191640273000.0,13.490094,41.161576,1.7988,10.845735,ADBE
ADBE,2023-08-31,3M,252459172000.0,126.991535,51.627643,31.6456,254947172000.0,17.182044,53.321258,2.1084,14.067724,ADBE
ADP,2022-09-02,TTM,101150590344.0,,,29.4118,99092490344.0,30.723496,34.068571,2.8254,6.258307,ADP
ADP,2022-09-05,TTM,,22.983025,6.303592,,,,,,,ADP
ADP,2022-09-30,3M,95835788000.0,80.110163,23.520294,27.8552,93914088000.0,29.117939,32.312857,2.6798,5.935787,ADP
ADP,2022-12-31,3M,101214160903.0,80.848439,24.076826,29.3255,99085760903.0,38.417847,33.083102,2.7065,6.111807,ADP
ADP,2023-03-31,3M,94034705000.0,61.089265,20.099757,24.9377,92057505000.0,30.822481,29.605053,2.3426,5.58037,ADP
ADP,2023-06-30,3M,92067759000.0,73.489591,21.703345,24.9377,90575459000.0,24.520943,28.106138,2.3297,5.401559,ADP
ADP,2023-09-30,3M,100352927609.0,75.686649,23.279961,26.3158,99112227609.0,28.225695,29.303289,2.7278,5.814889,ADP
AES,2022-09-30,3M,35639664982.0,30.750358,9.82621,12.9199,15095664982.0,6.998454,,1.5924,1.284441,AES
AES,2022-12-31,3M,40029235615.0,-120.207915,13.08145,16.4474,19210235615.0,7.480771,,2.0922,1.571336,AES
AES,2023-03-31,3M,38349604041.0,44.181571,11.839952,14.1443,16117604041.0,10.079802,,1.8369,1.274902,AES
AES,2023-06-30,3M,37282365892.0,63.083529,12.316606,12.1655,13876365892.0,9.105227,,1.6144,1.072194,AES
AES,2023-09-30,3M,35524361332.0,34.624134,10.344893,7.7942,10178361332.0,6.153786,,1.0649,0.809697,AES
A,2022-10-31,3M,42648250000.0,77.401543,23.065576,24.9377,40813250000.0,8.016745,31.586758,2.2633,6.284859,A
A,2023-01-31,3M,46731680000.0,93.090996,26.612574,26.5957,45015680000.0,8.485519,36.382775,2.9401,6.662383,A
A,2023-04-30,3M,41767901951.0,88.491318,24.326093,23.753,40046901951.0,7.122812,30.502252,2.6499,5.833457,A
A,2023-07-31,3M,37205802190.0,163.902212,22.252274,19.8807,35647802190.0,6.166373,26.821586,2.3761,5.14582,A
A,2023-10-31,3M,31704746410.0,62.906243,18.782433,18.0505,30244746410.0,5.44166,27.060209,2.4204,4.378519,A
ABNB,2022-02-16,TTM,,,18.179096,,,,,,,ABNB
ABNB,2022-09-30,3M,58983607840.0,45.780651,20.449107,36.3636,66497777840.0,12.678258,52.258706,,9.31608,ABNB
ABNB,2022-12-31,3M,46870247146.0,134.298702,24.642612,27.933,54136649146.0,9.738118,35.477178,,7.128871,ABNB
ABNB,2023-03-31,3M,71091000000.0,490.282759,39.10396,34.6021,78372000000.0,14.095683,44.587814,1.7343,10.071675,ABNB
ABNB,2023-06-30,3M,72995440000.0,106.25246,29.386248,35.5872,81253440000.0,15.356916,42.72,1.7632,10.136679,ABNB
ABNB,2023-09-30,3M,79535455145.0,46.979005,23.41344,32.1543,87551455145.0,17.330933,40.237537,1.5486,10.138261,ABNB
APD,2022-09-30,3M,55899719720.0,75.184559,15.658185,19.9601,51628519720.0,3.784,23.20339,1.2063,4.326126,APD
APD,2022-12-31,3M,73455130559.0,67.831869,23.13766,27.027,68429930559.0,5.208404,30.581349,1.811,5.401214,APD
APD,2023-03-31,3M,69330466123.0,72.872048,21.665094,25.3165,63795866123.0,4.577873,28.352419,1.7504,4.961855,APD
APD,2023-06-30,3M,73799718382.0,64.884577,24.325033,23.8663,66540218382.0,4.733163,30.815844,1.7447,5.076509,APD
APD,2023-09-30,3M,71077958867.0,57.022029,22.272415,22.2222,62956958867.0,4.454055,28.977505,1.6465,4.861736,APD
AKAM,2022-09-30,3M,15213973395.0,48.773678,17.251437,14.3062,12680649395.0,2.962438,22.818182,0.7875,3.690453,AKAM
AKAM,2022-12-31,3M,15544707215.0,48.629791,16.754752,14.4092,13255525215.0,3.116452,27.019231,1.2912,3.807573,AKAM
AKAM,2023-03-31,3M,14029142732.0,52.935367,15.320709,14.2857,11959841732.0,2.742965,24.018405,1.2625,3.474086,AKAM
AKAM,2023-06-30,3M,16116763678.0,55.360858,17.223899,15.6986,13641444678.0,3.270278,29.369281,1.3837,3.927742,AKAM
AKAM,2023-09-30,3M,18655982662.0,56.034068,19.322933,16.6389,16163534662.0,3.749641,34.931148,2.0784,4.555043,AKAM
ALK,2020-09-24,TTM,,,,,,,83.023256,,,ALK
ALK,2021-03-02,TTM,,,,131.5789,,,,,,ALK
ALK,2022-09-30,3M,5622554975.0,60.45758,1.988174,6.5574,4965554975.0,1.307069,23.871951,,0.605644,ALK
ALK,2022-12-31,3M,6251416463.0,117.951254,2.521749,7.5988,5446416463.0,1.431331,104.731707,,0.606713,ALK
ALK,2023-03-31,3M,6702135329.0,-37.652446,3.051974,6.3573,5339135329.0,1.399144,93.244444,,0.556359,ALK
ALK,2023-06-30,3M,8074384880.0,23.336372,2.845097,8.1433,6772384880.0,1.835832,110.791667,,0.671375,ALK
ALK,2023-09-30,3M,6161482123.0,18.502949,2.1703,5.9312,4717482123.0,1.193997,29.903226,,0.463263,ALK
ALB,2022-09-30,3M,33504261800.0,34.304799,16.016914,11.8064,30977823800.0,5.090607,122.425926,0.369,7.183986,ALB
ALB,2022-12-31,3M,27392920906.0,30.878206,10.451412,8.3126,25405754906.0,3.774013,16.441243,0.27,4.565025,ALB
ALB,2023-03-31,3M,27744997960.0,21.820236,10.752825,7.7101,25927770960.0,3.248025,9.677758,0.5051,3.556912,ALB
ALB,2023-06-30,3M,27826206600.0,96.942926,11.740074,10.8108,26177380600.0,2.841434,7.150321,0.5396,2.996699,ALB
ALB,2023-09-30,3M,21869443621.0,-935.111114,9.46485,7.3801,19953645621.0,2.033023,5.112447,0.3444,2.073778,ALB
ARE,2022-09-02,TTM,34802562584.0,,,16.6945,24538879584.0,1.431729,82.631868,,9.869413,ARE
ARE,2022-09-05,TTM,,23.62236,14.601385,,,,,,,ARE
ARE,2022-09-30,3M,33058577000.0,49.986054,50.099988,15.5763,22794894000.0,1.329975,77.027473,,9.200033,ARE
ARE,2022-12-31,3M,34303647494.0,90.925988,51.17801,16.4204,23902593494.0,1.411924,43.876506,,9.274817,ARE
ARE,2023-03-31,3M,31204600000.0,77.865696,44.52743,36.7647,21463331000.0,1.131293,39.493711,,7.842044,ARE
ARE,2023-06-30,3M,30071054105.0,70.866807,42.694007,33.2226,19392011105.0,1.026902,24.779476,,6.992871,ARE
ARE,2023-09-30,3M,27965662421.0,80.122803,39.525706,,17320124421.0,0.910591,29.528024,,6.134432,ARE
ALLE,2022-09-08,TTM,9732404018.0,,,,8621304018.0,,,,,ALLE
ALLE,2022-09-09,TTM,,,,16.4745,,11.26439,19.159615,1.8234,3.042176,ALLE
ALLE,2022-09-11,TTM,,15.164232,3.329708,,,,,,,ALLE
ALLE,2022-09-30,3M,8989001216.0,57.327814,9.838023,14.8148,7877901216.0,10.140174,17.246154,1.6413,2.738356,ALLE
ALLE,2022-12-31,3M,11191445963.0,58.228127,12.990651,17.3611,9246545963.0,11.652449,21.437882,1.9497,2.995402,ALLE
ALLE,2023-03-31,3M,11192979781.0,56.077053,12.126739,16.6667,9386479781.0,9.938041,20.564547,1.4616,2.880363,ALLE
ALLE,2023-06-30,3M,12364038290.0,57.938324,13.549631,17.7936,10534938290.0,10.085141,21.66426,1.6503,3.051239,ALLE
ALLE,2023-09-30,3M,10883377667.0,49.201527,11.856823,15.361,9146677667.0,8.019884,17.811966,1.4923,2.546778,ALLE
LNT,2022-09-30,3M,21395646771.0,43.398878,18.85079,18.0832,13301646771.0,2.167451,19.129964,2.9359,3.355498,LNT
LNT,2022-12-31,3M,22125915234.0,60.952935,20.912963,19.1939,13858915234.0,2.213114,20.755639,2.9012,3.402516,LNT
LNT,2023-03-31,3M,22122107879.0,52.546575,20.54049,18.4162,13424107879.0,2.138959,19.56044,2.8671,3.190031,LNT
LNT,2023-06-30,3M,22155697948.0,52.377537,24.293528,18.1159,13262697948.0,2.095875,20.10728,2.8672,3.129933,LNT
LNT,2023-09-30,3M,21267240007.0,39.901013,19.746741,15.7233,12244240007.0,1.897743,18.563218,2.4882,2.913023,LNT
GOOGL,2022-09-07,TTM,1337744690000.0,,,18.018,1434013690000.0,5.589505,20.381743,1.3438,5.270049,GOOGL
GOOGL,2022-09-08,TTM,,13.351012,4.809626,,,,,,,GOOGL
GOOGL,2022-09-30,3M,1147461650000.0,56.303319,16.607735,15.8479,1243730650000.0,4.857415,17.811911,1.1818,4.605575,GOOGL
GOOGL,2022-12-31,3M,1057666890000.0,49.33608,13.907886,16.5017,1145003890000.0,4.469839,17.540745,1.2439,4.154601,GOOGL
GOOGL,2023-03-09,TTM,,,,17.094,,4.615928,20.245614,1.1179,4.295206,GOOGL
GOOGL,2023-03-13,TTM,1086045170000.0,,,,1170128170000.0,,,,,GOOGL
GOOGL,2023-03-14,TTM,,12.395936,3.839841,,,,,,,GOOGL
GOOGL,2023-03-31,3M,1237161980000.0,57.620138,17.727685,19.1939,1321244980000.0,5.151997,22.747807,1.256,4.826058,GOOGL
GOOGL,2023-06-30,3M,1433100430000.0,56.548176,19.209432,22.3214,1519081430000.0,5.794274,26.6,1.4825,5.478799,GOOGL
GOOGL,2023-09-30,3M,1566538730000.0,62.379593,20.426098,19.5695,1655756730000.0,6.143255,27.665962,1.2416,5.832251,GOOGL
GOOG,2022-09-07,TTM,1337744690000.0,,,18.1818,1434013690000.0,5.642106,20.573549,1.3565,5.319644,GOOG
GOOG,2022-09-08,TTM,,13.351012,4.809626,,,,,,,GOOG
GOOG,2022-09-30,3M,1147461650000.0,56.303319,16.607735,15.9236,1243730650000.0,4.882807,17.905021,1.188,4.629651,GOOG
GOOG,2022-12-31,3M,1057666890000.0,49.33608,13.907886,16.6113,1145003890000.0,4.495169,17.640149,1.251,4.178146,GOOG
GOOG,2023-03-09,TTM,,,,17.1527,,4.632928,20.320175,1.122,4.311025,GOOG
GOOG,2023-03-13,TTM,1086045170000.0,,,,1170128170000.0,,,,,GOOG
GOOG,2023-03-14,TTM,,12.395936,3.839841,,,,,,,GOOG
GOOG,2023-03-31,3M,1237161980000.0,57.620138,17.727685,19.2678,1321244980000.0,5.165407,22.807018,1.2588,4.83862,GOOG
GOOG,2023-06-30,3M,1433100430000.0,56.548176,19.209432,22.5225,1519081430000.0,5.85575,26.882222,1.4975,5.536928,GOOG
GOOG,2023-09-30,3M,1566538730000.0,62.379593,20.426098,19.7239,1655756730000.0,6.189731,27.875264,1.2515,5.876374,GOOG
MO,2021-02-26,TTM,,,,,,,,6.5965,,MO
MO,2022-09-30,3M,97547260562.0,133.261285,18.024254,8.0775,72434260562.0,,41.204082,,3.541254,MO
MO,2022-12-31,3M,105728210368.0,34.517862,20.800356,9.2166,81920210368.0,,17.785992,,4.007992,MO
MO,2023-03-31,3M,102347819349.0,37.545055,21.4881,8.9206,79697819349.0,,13.987461,,3.890878,MO
MO,2023-06-30,3M,101915352237.0,32.612913,18.74133,9.1996,80441352237.0,,14.565916,,3.943331,MO
MO,2023-09-30,3M,100943349869.0,31.329407,19.128927,8.2169,74622349869.0,,11.065789,,3.635895,MO
AMZN,2022-09-30,3M,1216241000000.0,88.357501,9.569091,46.9484,1152374000000.0,8.769836,101.755966,4.4998,2.383362,AMZN
AMZN,2022-12-31,3M,926527950784.0,74.617698,6.209806,41.3223,856938950784.0,6.257432,76.328941,4.6704,1.709176,AMZN
AMZN,2023-03-30,TTM,,,,61.3497,,7.156937,,3.8288,2.022009,AMZN
AMZN,2023-03-31,3M,1129640820000.0,70.316889,8.869807,62.1118,1059548820000.0,7.255047,,3.8773,2.047581,AMZN
AMZN,2023-03-31,TTM,1128531460300.0,,,,1058439460300.0,,,,,AMZN
AMZN,2023-04-01,TTM,,29.425622,2.195659,,,,,,,AMZN
AMZN,2023-06-30,3M,1421348680000.0,71.095872,10.576849,82.6446,1344402680000.0,8.700171,310.380952,5.1566,2.541401,AMZN
AMZN,2023-09-30,3M,1386536481187.0,55.183335,9.690435,40.4858,1311592481187.0,7.788458,100.888889,2.5303,2.433856,AMZN
AMCR,2022-09-30,3M,22142050000.0,44.91288,5.964992,13.947,15934050000.0,3.903491,20.283554,,1.118446,AMCR
AMCR,2022-12-31,3M,24597222911.0,35.391688,6.753768,14.7493,17734222911.0,4.511087,21.537071,,1.207377,AMCR
AMCR,2023-03-31,3M,23269600000.0,54.368224,6.345678,14.4509,16728600000.0,3.843005,16.005626,,1.136404,AMCR
AMCR,2023-06-30,3M,21356060000.0,44.491792,5.814337,14.7275,14441060000.0,3.399496,15.259939,,0.993822,AMCR
AMCR,2023-09-30,3M,19769367490.0,46.190111,5.741902,13.3869,13249367490.0,3.290951,12.992908,,0.920114,AMCR
AMD,2022-09-30,3M,99343320000.0,181.283431,17.85145,12.87,102136320000.0,1.851335,26.961702,0.6206,4.034883,AMD
AMD,2022-12-31,3M,101731308612.0,210.188654,18.16955,16.9205,104432308612.0,1.914291,39.736196,0.8475,4.176513,AMD
AMD,2023-03-31,3M,154745922146.0,371.98539,28.908261,32.6797,157737922146.0,2.881058,116.678571,1.869,6.524033,AMD
AMD,2023-06-30,3M,180345320611.0,200.606586,33.652794,40.1606,183436320611.0,3.353866,599.526316,1.8483,8.006095,AMD
AMD,2023-09-30,3M,162698331291.0,143.85352,28.051436,24.6305,166123331291.0,3.012974,,1.1759,7.597757,AMD
AEE,2022-09-30,3M,35426175000.0,34.528436,15.362608,18.4162,20822175000.0,2.107508,20.653846,2.3162,2.996469,AEE
AEE,2022-12-31,3M,37933791267.0,54.346406,18.540465,20.3252,22987791267.0,2.2838,22.285714,2.5568,3.090912,AEE
AEE,2023-03-07,TTM,36686651633.0,,,18.8324,21601651633.0,2.055734,19.913043,2.6284,2.688599,AEE
AEE,2023-03-08,TTM,,11.540312,4.610614,,,,,,,AEE
AEE,2023-03-31,3M,37771014000.0,47.332098,18.31766,19.8413,22686014000.0,2.158928,20.86715,2.7676,2.817419,AEE
AEE,2023-06-30,3M,36973709000.0,47.341497,21.007789,18.7617,21454709000.0,2.022693,19.585132,2.6128,2.613891,AEE
AEE,2023-09-30,3M,35661547704.0,32.567623,17.311431,15.8983,19661547704.0,1.838043,17.52459,2.2132,2.393937,AEE
AAL,2020-05-01,TTM,,,,7.391,,,2.807388,,,AAL
AAL,2022-09-30,3M,40167350833.0,34.716811,2.983758,6.689,7824350833.0,,,,0.191996,AAL
AAL,2022-12-31,3M,41716739282.0,27.036124,3.162995,7.8247,8266739282.0,,,,0.182824,AAL
AAL,2023-03-31,3M,44351060691.0,79.624885,3.638614,5.7604,9629060691.0,,77.631579,0.0847,0.197322,AAL
AAL,2023-06-30,3M,43155964492.0,18.674152,3.070506,5.8072,11719964492.0,,6.571429,0.0874,0.225507,AAL
AAL,2023-09-30,3M,38891572805.0,-254.193286,2.884704,3.858,8369572805.0,,3.301546,0.0581,0.16701,AAL
AEP,2022-09-02,TTM,89399168442.0,,,19.1205,51933368442.0,2.158853,19.938856,3.175,2.864494,AEP
AEP,2022-09-04,TTM,,12.274036,4.989712,,,,,,,AEP
AEP,2022-09-30,3M,81881406084.0,44.51286,14.817214,16.3399,44415606084.0,1.846342,17.051282,2.5741,2.449654,AEP
AEP,2022-12-31,3M,86451056226.0,56.441246,17.711388,17.9211,48791356226.0,2.009687,19.69917,2.9276,2.577447,AEP
AEP,2023-03-08,TTM,85591641033.0,,,16.8634,45888241033.0,1.92054,19.888641,2.7999,2.334793,AEP
AEP,2023-03-09,TTM,,12.051426,4.358137,,,,,,,AEP
AEP,2023-03-31,3M,86531471742.0,54.704433,18.446667,17.1821,46828071742.0,1.959875,20.265033,2.8931,2.378979,AEP
AEP,2023-06-30,3M,86256453412.0,49.948725,19.727033,15.8983,43375953412.0,1.827264,21.87013,2.6072,2.198955,AEP
AEP,2023-09-30,3M,82904242029.0,36.621717,15.520198,13.4409,38751542029.0,1.621308,19.588542,2.0652,1.992476,AEP
AMT,2022-09-30,3M,147366649400.0,71.959885,55.162511,42.1941,99964749400.0,14.365435,35.370675,2.762,9.605833,AMT
AMT,2022-12-31,3M,143183203051.0,398.173535,52.932792,47.1698,98643203051.0,15.70346,33.682035,3.4421,9.331389,AMT
AMT,2023-03-08,TTM,136182128187.0,,,43.1034,91159528187.0,16.359114,51.248691,1.6987,8.457821,AMT
AMT,2023-03-09,TTM,,21.92137,12.714112,,,,,,,AMT
AMT,2023-03-31,3M,140252804920.0,93.333869,50.684014,46.5116,95230204920.0,17.0896,53.492147,1.8268,8.828069,AMT
AMT,2023-06-30,3M,135508027960.0,85.364765,48.889861,43.1034,90402027960.0,16.720655,65.080537,1.756,8.338985,AMT
AMT,2023-09-30,3M,121820075428.0,69.015963,43.220065,32.6797,76659275428.0,14.838188,80.219512,1.925,7.03482,AMT
AWK,2022-09-30,3M,35295634209.0,54.977623,32.620734,26.9542,23666634209.0,3.126372,18.204196,3.574,6.215123,AWK
AWK,2022-12-31,3M,39554204555.0,86.362892,42.485719,31.8471,27714204555.0,3.572932,21.023448,4.2418,7.277135,AWK
AWK,2023-03-07,TTM,39054764758.0,,,28.6533,26687764758.0,3.469097,30.405765,3.8675,6.581661,AWK
AWK,2023-03-08,TTM,,18.68649,10.299252,,,,,,,AWK
AWK,2023-03-31,3M,40880319283.0,81.597444,43.58243,30.6748,28513319283.0,3.706398,32.481153,4.1358,7.030902,AWK
AWK,2023-06-30,3M,38857931943.0,60.620799,35.421998,29.9401,27788931943.0,2.91075,31.373626,3.6496,6.718943,AWK
AWK,2023-09-30,3M,35567817815.0,50.738684,30.477993,24.0964,24105817815.0,2.485342,25.744283,3.069,5.689817,AWK
AME,2022-09-30,3M,28189976817.0,60.820193,18.16615,19.5695,26036476817.0,3.746207,24.129787,1.4154,4.457945,AME
AME,2022-12-31,3M,34134759348.0,85.012787,20.997387,23.6967,32087312348.0,4.506401,28.572597,1.7343,5.377687,AME
AME,2023-03-31,3M,35681941556.0,89.167404,22.34147,24.4499,33466727556.0,4.476249,29.007984,2.0087,5.470931,AME
AME,2023-06-30,3M,39155346785.0,94.325913,23.786577,26.5252,37309322785.0,4.809684,31.372093,2.1681,5.947848,AME
AME,2023-09-30,3M,35676135407.0,82.606784,21.983807,21.9298,34090022407.0,4.218346,27.670412,2.1923,5.317887,AME
AMGN,2022-09-30,3M,149589900000.0,54.199239,22.487959,12.1655,120250900000.0,49.710996,19.166667,1.32,4.749939,AMGN
AMGN,2022-12-31,3M,167365242663.0,77.376441,24.472181,14.4928,140139242663.0,38.393036,21.078652,1.4215,5.461276,AMGN
AMGN,2023-03-31,3M,158807025000.0,39.851198,26.012617,13.587,129167025000.0,35.281897,19.962841,1.3405,4.968535,AMGN
AMGN,2023-06-30,3M,148792498000.0,62.887784,21.298668,12.5471,118758498000.0,22.206151,15.093134,1.2114,4.558658,AMGN
AMGN,2023-09-30,3M,171056041405.0,63.213615,24.779957,13.7174,143760041405.0,21.208299,18.110512,2.042,5.434448,AMGN
APH,2022-09-02,TTM,46700526909.0,,,23.2019,43172626909.0,6.678624,25.646643,2.459,3.800234,APH
APH,2022-09-05,TTM,,16.649029,3.913266,,,,,,,APH
APH,2022-09-30,3M,43369100000.0,55.148906,13.161295,21.4133,39841200000.0,6.163266,23.660777,2.2686,3.505975,APH
APH,2022-12-31,3M,48811698275.0,62.748037,15.06906,24.0385,45310498275.0,6.892218,25.722973,2.6658,3.823227,APH
APH,2023-03-31,3M,51791416000.0,74.832273,17.414733,27.1003,48647916000.0,6.934249,26.705882,4.7303,4.02029,APH
APH,2023-06-30,3M,53695400000.0,74.062621,17.582567,29.1545,50630200000.0,6.927957,27.491909,5.241,4.162316,APH
APH,2023-09-30,3M,52912367680.0,68.887342,16.53925,26.3158,50096167680.0,6.687946,27.358306,5.0343,4.140197,APH
ADI,2022-10-31,3M,77363666105.0,46.371837,23.820946,14.6843,72635787105.0,1.982494,42.195266,1.3121,6.628803,ADI
ADI,2023-01-31,3M,91870209003.0,53.368728,28.270975,17.0358,86738528003.0,2.378658,32.660952,1.7046,7.467095,ADI
ADI,2023-04-30,3M,95865535520.0,55.318603,29.3802,17.0068,90992747520.0,2.46897,27.254545,1.8256,7.413512,ADI
ADI,2023-07-31,3M,104980255640.0,68.531278,34.12333,19.7628,99428583640.0,2.760891,28.34233,2.0419,7.969538,ADI
ADI,2023-10-31,3M,84232848697.0,71.414454,31.008042,18.7266,78399734697.0,2.183609,21.405442,2.1176,6.248111,ADI
ANSS,2022-02-14,TTM,,,,39.2157,,,,,,ANSS
ANSS,2022-02-24,TTM,,,,,,,,3.3282,,ANSS
ANSS,2022-02-25,TTM,,43.801146,,,,,,,,ANSS
ANSS,2022-09-30,3M,19654614963.0,129.05197,41.5961,25.5102,19307490963.0,4.336078,42.552783,3.1477,9.759962,ANSS
ANSS,2022-12-31,3M,21275942853.0,79.029266,30.651899,28.8184,21045444853.0,4.623171,45.241573,3.6447,10.448763,ANSS
ANSS,2023-03-31,3M,29090889846.0,212.688463,57.102878,38.4615,28839087846.0,5.926833,55.559265,4.4751,14.096308,ANSS
ANSS,2023-06-30,3M,29010690128.0,287.19759,58.418745,39.2157,28654664128.0,5.991989,52.175355,4.5003,13.427915,ANSS
ANSS,2023-09-30,3M,26205601771.0,324.455252,57.118325,30.7692,25824683771.0,5.257749,49.591667,3.507,11.966589,ANSS
AON,2022-09-30,3M,65958812000.0,96.431012,24.465435,18.7266,55609812000.0,81.300895,38.487069,1.5527,4.735924,AON
AON,2022-12-31,3M,72433840211.0,82.217753,23.141802,21.0084,62084840211.0,,23.393609,1.7395,5.222687,AON
AON,2023-03-31,3M,75011805000.0,49.480082,19.377888,21.645,64476805000.0,,25.97117,1.8562,5.386636,AON
AON,2023-06-30,3M,74025640000.0,86.884554,23.300485,23.5849,70144640000.0,,27.660256,2.2016,5.740856,AON
